Año,Producción Diaria (Kb/d),Precio del Crudo (USD/bbl),Crecimiento PIB (% anual),Deuda/PIB (%),Reservas Probadas (Mb),Ingresos Petroleros al PGE (% PIB),Recaudación IVA (USD millones),Déficit Primario (% PIB),Empleo Adecuado (% PEA),Ratio R/P (Años),Exportaciones Petroleras (USD M),Inversión Pública (% PIB)
1990,285.0,20.0,3.0,70.0,1500.0,10.0,320.0,-2.5,55.0,14.419610670511897,1872.45,14.3
1991,295.0,18.0,5.0,75.0,1510.0,10.0,370.0,-2.5,54.5,14.02368237752496,1744.3349999999998,14.3
1992,310.0,15.0,3.6,78.0,1520.0,10.0,420.0,-2.5,54.0,13.433495360141407,1527.5249999999999,14.3
1993,330.0,14.0,2.0,80.0,1530.0,10.0,470.0,-2.5,53.5,12.70236612702366,1517.67,14.3
1994,360.0,12.0,4.3,82.0,1540.0,10.0,520.0,-2.5,53.0,11.71993911719939,1419.1200000000001,14.3
1995,380.0,14.0,1.7,83.0,1550.0,10.0,570.0,-2.5,52.5,11.175198269646721,1747.62,14.3
1996,385.0,16.0,2.4,84.0,1560.0,10.0,620.0,-2.5,52.0,11.101227539583704,2023.5600000000002,14.3
1997,390.0,15.0,4.1,85.0,1570.0,10.0,670.0,-2.5,51.5,11.02915349490692,1921.7250000000001,14.3
1998,375.0,10.0,2.1,80.0,1580.0,10.0,720.0,-2.5,51.0,11.54337899543379,1231.875,14.3
1999,380.0,15.0,-4.7,85.5,1590.0,10.0,770.0,-2.5,50.5,11.463590483056958,1872.45,14.3
2000,400.0,25.0,1.1,75.0,1600.0,8.0,820.0,-2.5,50.0,10.95890410958904,3285.0,14.3
2001,410.0,20.0,4.0,60.0,1610.0,8.0,870.0,-2.5,49.5,10.758436351486802,2693.7000000000003,14.3
2002,405.0,22.0,4.1,50.0,1620.0,8.0,920.0,-2.5,49.0,10.958904109589042,2926.935,14.3
2003,420.0,28.0,2.7,45.0,1630.0,8.0,970.0,-2.5,48.5,10.632746249184606,3863.16,14.3
2004,520.0,35.0,8.8,40.0,1640.0,8.0,1020.0,-2.5,48.0,8.640674394099053,5978.699999999999,14.3
2005,532.0,45.0,4.5,25.0,1800.0,9.0,4000.0,1.0,48.0,9.269749716757648,7864.290000000001,14.3
2006,535.0,55.0,4.8,24.0,1780.0,10.0,4200.0,0.5,49.0,9.115350147228268,9666.112500000001,14.3
2007,511.0,65.0,5.0,23.0,1750.0,12.0,4500.0,1.0,50.0,9.382623381497467,10911.127499999999,15.0
2008,505.0,85.0,6.0,22.0,1720.0,15.0,5000.0,2.0,51.0,9.331344093313442,14100.8625,18.0
2009,486.0,55.0,0.5,23.0,1700.0,9.0,4800.0,4.0,47.0,9.583403799537743,8780.804999999998,22.0
2010,486.0,75.0,3.0,24.0,1680.0,12.0,5200.0,2.0,46.0,9.470657872484358,11973.824999999999,24.0
2011,500.0,95.0,7.9,25.0,1650.0,15.0,5800.0,1.0,45.0,9.04109589041096,15603.75,25.0
2012,504.0,97.0,5.6,26.0,1620.0,16.0,6200.0,2.0,44.0,8.806262230919765,16059.707999999999,26.0
2013,526.0,96.0,4.9,28.0,1600.0,15.0,6500.0,4.0,44.0,8.333767383717902,16587.936,27.0
2014,557.0,86.0,3.8,30.0,1580.0,14.0,6800.0,5.0,43.0,7.77157472762598,15735.807,25.0
2015,543.0,42.0,0.1,33.0,1560.0,10.0,6000.0,6.0,45.0,7.871036100809809,7491.771000000001,22.0
2016,548.0,35.0,-1.2,38.0,1540.0,8.0,6200.0,7.0,44.0,7.699230076992301,6300.629999999999,20.0
2017,530.0,46.0,2.4,42.0,1520.0,9.0,6500.0,5.0,43.0,7.85732747479969,8008.829999999999,18.0
2018,517.0,60.0,1.3,45.0,1500.0,11.0,6800.0,4.0,42.0,7.948914973106172,10190.07,14.3
2019,531.0,55.0,0.0,50.0,1480.0,10.0,7000.0,3.0,41.0,7.636147872971648,9593.8425,14.3
2020,479.0,35.0,-7.8,60.0,1460.0,5.0,6000.0,8.0,35.0,8.35073068893528,5507.302500000001,14.3
2021,473.0,62.0,4.2,62.0,1440.0,12.0,7500.0,5.0,38.0,8.34081496712908,9633.590999999999,14.3
2022,481.0,95.0,2.9,58.0,1420.0,15.0,8000.0,2.0,40.0,8.088172471734115,15010.807499999999,14.3
2023,475.0,75.0,1.5,60.0,1400.0,12.0,8200.0,3.0,39.0,8.074981975486661,11702.8125,14.3
2024,470.0,72.0,1.0,63.0,1380.0,11.0,8300.0,4.0,38.0,8.044301952783446,11116.439999999999,14.3
